Timestamp	Timestamp	Lifetime_TPCCenter	Lifetime_TPCLow	Lifetime_TPCHigh	Qratio_TPCCenter	Qratio_TPCLow	Qratio_TPCHigh	SetVoltage_A	Ka_prm	Ka_tpc	Ka_prm/Ka_tpc	CorLifetime_TPCCenter	CorLifetime_TPCLow	CorLifetime_TPCHigh
2018-11-16	18:07:40	219.5844339	53.36546823	469.8848629	0.989625401	0.957996031	0.995138322	500	4.579519547	3.327620985	1.376214289	302.1952355	73.44231989	646.6622623
2018-11-16	18:08:33	329.366215	58.06935666	1638.650764	0.993071367	0.96133186	0.998603485	500	4.579519547	3.327620985	1.376214289	453.2784913	79.91587836	2255.134595
2018-11-17	17:03:16	328.9494336	58.03649465	1631.067971	0.993062619	0.961310395	0.998596997	500	4.579519547	3.327620985	1.376214289	452.7049107	79.8706532	2244.699047
2018-11-17	17:03:52	1656.271277	67.56651071	120074998.8	0.998618332	0.966675388	0.999999981	500	4.579519547	3.327620985	1.376214289	2279.384197	92.98599747	165248929
2018-11-18	14:29:50	919.1827063	65.41358217	120049998.8	0.997511757	0.965597672	0.999999981	500	4.579519547	3.327620985	1.376214289	1264.992374	90.02310645	165214523.7
2018-11-19	18:28:26	119474998.8	81.05834115	119474998.8	0.999999981	0.972144078	0.999999981	500	4.579519547	3.327620985	1.376214289	164423200.5	111.5536473	164423200.5
2018-11-19	18:29:28	119449998.8	76.13030927	119449998.8	0.999999981	0.970367897	0.999999981	500	4.579519547	3.327620985	1.376214289	164388795.1	104.7716194	164388795.1
2018-11-20	4:45:11	8433.685774	69.46714578	119399998.8	0.999728507	0.967572208	0.999999981	500	4.579519547	3.327620985	1.376214289	11606.55887	95.60167861	164319984.4
2018-11-20	4:45:46	119349998.8	93.95340588	119349998.8	0.999999981	0.975920858	0.999999981	500	4.579519547	3.327620985	1.376214289	164251173.7	129.3000196	164251173.7
2018-11-20	11:20:42	381.9067545	59.17806813	5671.922149	0.994021713	0.962042387	0.999596338	500	4.579519547	3.327620985	1.376214289	525.5855324	81.44170293	7805.780305
