channel,tv,shape,shape_err,x,dx
20125,0.000,1.00323,0.100323,262.5,5.0
20126,0.000,1.00372,0.100372,267.5,5.0
20127,0.000,1.0032,0.10032,272.5,5.0
20128,0.000,1.0043,0.10043,277.5,5.0
20129,0.000,1.00307,0.100307,282.5,5.0
20130,0.000,1.00517,0.100517,287.5,5.0
20131,0.000,1.00667,0.100667,292.5,5.0
20132,0.000,1.00531,0.100531,297.5,5.0
20133,0.000,1.00364,0.100364,302.5,5.0
20134,0.000,1.00474,0.100474,307.5,5.0
20135,0.000,1.00481,0.100481,312.5,5.0
20136,0.000,1.00594,0.100594,317.5,5.0
20137,0.000,1.00665,0.100665,322.5,5.0
20138,0.000,1.00727,0.100727,327.5,5.0
20139,0.000,1.00868,0.100868,332.5,5.0
20140,0.000,1.00814,0.100814,337.5,5.0
20141,0.000,1.00802,0.100802,342.5,5.0
20142,0.000,1.00972,0.100972,347.5,5.0
20143,0.000,1.00691,0.100691,352.5,5.0
20144,0.000,1.00781,0.100781,357.5,5.0
